,med_scores,record_idx,f1_scores
81440,23.666666666666668,15288,0.6666666666666666
81442,25.0,15288,0.4
81444,23.666666666666668,15288,0.6666666666666666
81446,22.666666666666668,15289,1.0
81448,22.666666666666668,15289,1.0
81450,22.666666666666668,15289,1.0
81452,22.666666666666668,15290,1.0
81454,20.666666666666668,15291,1.0
81456,20.666666666666668,15291,1.0
81458,21.77777777777778,15291,0.6666666666666666
81460,18.88888888888889,15292,1.0
81462,18.88888888888889,15292,1.0
81464,15.333333333333334,15293,0.6666666666666666
81466,14.444444444444445,15293,0.3333333333333333
81468,14.0,15293,1.0
81470,23.77777777777778,15294,1.0
81472,23.77777777777778,15294,1.0
81474,19.555555555555557,15295,0.0
81476,19.555555555555557,15295,0.0
81478,17.555555555555557,15295,1.0
81480,13.333333333333334,15296,0.6666666666666666
81482,16.666666666666668,15297,1.0
81484,16.666666666666668,15297,1.0
81486,21.77777777777778,15298,1.0
81488,22.22222222222222,15298,0.6666666666666666
81490,21.77777777777778,15298,1.0
81492,18.444444444444443,15299,1.0
81494,18.444444444444443,15299,1.0
81496,18.444444444444443,15299,1.0
81498,17.666666666666668,15300,0.6666666666666666
81500,17.555555555555557,15300,1.0
81502,17.555555555555557,15300,1.0
81504,19.22222222222222,15301,0.0
81506,19.0,15301,0.0
81508,18.444444444444443,15301,0.6666666666666666
81510,15.333333333333334,15302,1.0
81512,15.333333333333334,15302,1.0
81514,15.333333333333334,15302,1.0
81516,15.333333333333334,15303,0.6666666666666666
81518,15.333333333333334,15303,0.6666666666666666
81520,15.333333333333334,15303,0.6666666666666666
81522,12.444444444444445,15304,0.6666666666666666
81524,14.666666666666666,15305,1.0
81526,15.333333333333334,15305,0.6666666666666666
81528,14.666666666666666,15305,1.0
81530,17.11111111111111,15306,1.0
81532,17.11111111111111,15306,1.0
81534,17.11111111111111,15306,1.0
81536,20.22222222222222,15307,1.0
81538,20.22222222222222,15307,1.0
81540,20.22222222222222,15307,1.0
81542,19.555555555555557,15308,0.6666666666666666
81544,19.22222222222222,15308,0.6666666666666666
81546,26.555555555555557,15308,0.0
81548,12.666666666666666,15309,1.0
81550,12.666666666666666,15309,1.0
81552,12.666666666666666,15309,1.0
81554,15.11111111111111,15310,1.0
81556,15.11111111111111,15310,1.0
81558,24.0,15311,0.8
81560,24.0,15311,0.8
81562,22.22222222222222,15311,1.0
81564,22.444444444444443,15312,0.6666666666666666
81566,22.444444444444443,15312,0.6666666666666666
81568,22.444444444444443,15312,0.6666666666666666
81570,19.333333333333332,15313,0.8
81572,19.333333333333332,15313,0.8
81574,19.333333333333332,15313,0.8
81576,26.0,15314,0.6666666666666666
81578,23.833333333333332,15314,0.8
81580,23.77777777777778,15314,1.0
81582,21.77777777777778,15315,1.0
81584,22.666666666666668,15315,0.4
81586,22.333333333333332,15315,0.8
81588,15.444444444444445,15316,0.6666666666666666
81590,15.444444444444445,15316,0.6666666666666666
81592,15.333333333333334,15316,1.0
81594,28.0,15317,0.8
81596,29.0,15317,0.5
81598,28.0,15317,0.8
81600,22.88888888888889,15318,0.6666666666666666
81602,13.333333333333334,15319,0.8
81604,15.88888888888889,15319,0.6666666666666666
81606,13.333333333333334,15319,0.8
81608,22.88888888888889,15320,0.6666666666666666
81610,22.88888888888889,15320,0.0
81612,22.666666666666668,15320,0.3333333333333333
81614,16.22222222222222,15321,0.6666666666666666
81616,14.88888888888889,15321,1.0
81618,16.22222222222222,15321,0.6666666666666666
81620,21.333333333333332,15322,1.0
81622,21.833333333333332,15322,0.8
81624,21.833333333333332,15322,0.8
81626,20.166666666666668,15323,0.4
81628,16.0,15323,1.0
81630,17.444444444444443,15323,0.6666666666666666
81632,19.77777777777778,15324,1.0
81634,19.77777777777778,15324,1.0
81636,20.833333333333332,15324,0.8
81638,22.333333333333332,15325,0.3333333333333333
81640,22.22222222222222,15325,0.6666666666666666
81642,22.0,15325,1.0
81644,15.666666666666666,15326,0.4
81646,13.555555555555555,15326,0.6666666666666666
81648,19.166666666666668,15327,0.8
81650,20.0,15327,0.6666666666666666
81652,18.333333333333332,15327,0.4
81654,25.11111111111111,15328,0.3333333333333333
81656,25.22222222222222,15328,0.3333333333333333
81658,23.0,15329,0.4
81660,23.0,15329,0.4
81662,30.22222222222222,15330,0.3333333333333333
